[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:26:23] [Server thread/INFO]: Starting minecraft server version 1.15.2
[13:26:23] [Server thread/INFO]: Loading properties
[13:26:23] [Server thread/INFO]: Default game type: SURVIVAL
[13:26:23] [Server thread/INFO]: Generating keypair
[13:26:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:26:23] [Server thread/INFO]: Using epoll channel type
[13:26:24] [Server thread/INFO]: Preparing level "world"
[13:26:24] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[13:26:24] [Server thread/INFO]: Reloading ResourceManager: Default
[13:26:29] [Server thread/INFO]: Loaded 6 recipes
[13:26:30] [Server thread/INFO]: Loaded 825 advancements
[13:27:08] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:27:08] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:09] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:09] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:10] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:10] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:11] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:11] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:27:12] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:27:13] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:27:13] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:27:13] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:27:14] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:27:14] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:27:15] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[13:27:15] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:27:16] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:27:16] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:27:17] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[13:27:17] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[13:27:18] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[13:27:18] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[13:27:19] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[13:27:19] [Server-Worker-1/INFO]: Preparing spawn area: 7%
[13:27:20] [Server-Worker-1/INFO]: Preparing spawn area: 7%
[13:27:20] [Server-Worker-1/INFO]: Preparing spawn area: 8%
[13:27:21] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[13:27:21] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[13:27:22] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[13:27:22] [Server-Worker-1/INFO]: Preparing spawn area: 11%
[13:27:23] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[13:27:23] [Server-Worker-1/INFO]: Preparing spawn area: 13%
[13:27:24] [Server-Worker-1/INFO]: Preparing spawn area: 14%
[13:27:24] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:27:25] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:27:25] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:27:26] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:27:26] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[13:27:27] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[13:27:27] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[13:27:28] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[13:27:28] [Server-Worker-1/INFO]: Preparing spawn area: 20%
[13:27:29] [Server-Worker-1/INFO]: Preparing spawn area: 20%
[13:27:29] [Server-Worker-1/INFO]: Preparing spawn area: 21%
[13:27:30] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[13:27:30] [Server-Worker-1/INFO]: Preparing spawn area: 23%
